"","Year","Month","Day","Sentiment","Count","Avg_Per"
"1","2020",1,22,"negative",14493,0.297759167208333
"2","2020",1,22,"neutral",20061,0.655877221541667
"3","2020",1,22,"positive",1779,0.0463636112083333
"4","2020",1,23,"negative",99275,0.496622656541667
"5","2020",1,23,"neutral",97048,0.466756613375
"6","2020",1,23,"positive",7367,0.03662073
"7","2020",1,24,"negative",233430,0.421974544333333
"8","2020",1,24,"neutral",305404,0.524804047125
"9","2020",1,24,"positive",29652,0.0532214085
"10","2020",1,25,"negative",376001,0.442638943583333
"11","2020",1,25,"neutral",445823,0.517017620375
"12","2020",1,25,"positive",34265,0.04034343625
"13","2020",1,26,"negative",489539,0.429383953083333
"14","2020",1,26,"neutral",616673,0.542880901291667
"15","2020",1,26,"positive",31525,0.0277351455
"16","2020",1,27,"negative",451737,0.517503256958333
"17","2020",1,27,"neutral",394150,0.453199827375
"18","2020",1,27,"positive",25199,0.029296915625
"19","2020",1,28,"negative",323282,0.4220220865
"20","2020",1,28,"neutral",404091,0.527494179666667
"21","2020",1,28,"positive",38621,0.0504837338333333
"22","2020",1,29,"negative",611369,0.496639764333333
"23","2020",1,29,"neutral",557347,0.457495083416667
"24","2020",1,29,"positive",55809,0.0458651519583333
"25","2020",1,30,"negative",695855,0.448169852583333
"26","2020",1,30,"neutral",777769,0.494317143291667
"27","2020",1,30,"positive",87863,0.057513004125
"28","2020",1,31,"negative",641326,0.459571178833333
"29","2020",1,31,"neutral",672792,0.482889744708333
"30","2020",1,31,"positive",79468,0.0575390764166667
"31","2020",2,1,"negative",232297,0.491893559791667
"32","2020",2,1,"neutral",222222,0.44314976525
"33","2020",2,1,"positive",32381,0.0649566749583333
"34","2020",2,2,"negative",240679,0.47106044675
"35","2020",2,2,"neutral",237507,0.4677875575
"36","2020",2,2,"positive",30816,0.061151995875
"37","2020",2,3,"negative",213258,0.431878315625
"38","2020",2,3,"neutral",241663,0.488388229125
"39","2020",2,3,"positive",40125,0.0797334554166667
"40","2020",2,4,"negative",247566,0.444608223791667
"41","2020",2,4,"neutral",271905,0.486005492916667
"42","2020",2,4,"positive",38926,0.0693862832083333
"43","2020",2,5,"negative",208970,0.410815410083333
"44","2020",2,5,"neutral",240624,0.475564368583333
"45","2020",2,5,"positive",57546,0.113620221166667
"46","2020",2,6,"negative",250610,0.458741197041667
"47","2020",2,6,"neutral",255327,0.472124395041667
"48","2020",2,6,"positive",37426,0.069134408
