"","Year","Month","Day","Text","Count"
"1",2020,1,30,"china",18256
"2",2020,1,30,"wuhan",5571
"3",2020,1,30,"españa",3409
"4",2020,1,30,"italia",1823
"5",2020,1,30,"venezuela",1543
"6",2020,1,31,"china",26595
"7",2020,1,31,"wuhan",11668
"8",2020,1,31,"españa",3748
"9",2020,1,31,"pergamino",3501
"10",2020,1,31,"argentina",2562
"11",2020,2,1,"china",27198
"12",2020,2,1,"wuhan",9508
"13",2020,2,1,"españa",7107
"14",2020,2,1,"alemania",4259
"15",2020,2,1,"la gomera",2792
"16",2020,2,3,"china",35443
"17",2020,2,3,"wuhan",10876
"18",2020,2,3,"españa",6896
"19",2020,2,3,"argentina",4850
"20",2020,2,3,"méxico",3859
"21",2020,2,4,"china",30550
"22",2020,2,4,"wuhan",10352
"23",2020,2,4,"españa",3644
"24",2020,2,4,"méxico",3224
"25",2020,2,4,"laisladelastentaciones8",2865
"26",2020,2,5,"china",23789
"27",2020,2,5,"españa",12012
"28",2020,2,5,"wuhan",8676
"29",2020,2,5,"japón",2963
"30",2020,2,5,"hong kong",2581
"31",2020,2,6,"china",23255
"32",2020,2,6,"wuhan",8001
"33",2020,2,6,"españa",5143
"34",2020,2,6,"hong kong",1420
"35",2020,2,6,"méxico",1352
"36",2020,2,7,"china",18336
"37",2020,2,7,"wuhan",6752
"38",2020,2,7,"japón",3964
"39",2020,2,7,"méxico",961
"40",2020,2,7,"yokohama",931
"41",2020,2,8,"china",19437
"42",2020,2,8,"wuhan",5045
"43",2020,2,8,"cuba",1555
"44",2020,2,8,"argentina",1484
"45",2020,2,8,"japón",1408
"46",2020,2,9,"china",18158
"47",2020,2,9,"wuhan",5326
"48",2020,2,9,"mallorca",3594
"49",2020,2,9,"españa",3258
"50",2020,2,9,"chile",2156
"51",2020,2,10,"china",26524
"52",2020,2,10,"wuhan",7300
"53",2020,2,10,"españa",1724
"54",2020,2,10,"chile",1518
"55",2020,2,10,"valladolid",1126
"56",2020,2,11,"china",28263
"57",2020,2,11,"wuhan",13022
"58",2020,2,11,"méxico",6593
"59",2020,2,11,"sofia",4662
"60",2020,2,11,"panaca",4290
"61",2020,2,12,"china",19799
"62",2020,2,12,"méxico",9579
"63",2020,2,12,"sofia",7508
"64",2020,2,12,"wuhan",6840
"65",2020,2,12,"barcelona",3383
"66",2020,2,13,"china",19125
"67",2020,2,13,"españa",7270
"68",2020,2,13,"wuhan",5067
"69",2020,2,13,"barcelona",4157
"70",2020,2,13,"hubei",2929
"71",2020,2,14,"china",21710
"72",2020,2,14,"wuhan",7074
"73",2020,2,14,"españa",1997
"74",2020,2,14,"barcelona",1582
"75",2020,2,14,"hubei",1210
"76",2020,2,15,"china",16087
"77",2020,2,15,"wuhan",5493
"78",2020,2,15,"europa",2802
"79",2020,2,15,"francia",2201
"80",2020,2,15,"asia",1109
"81",2020,2,16,"china",12074
"82",2020,2,16,"wuhan",4198
"83",2020,2,16,"japón",2632
"84",2020,2,16,"francia",799
"85",2020,2,16,"venezuela",671
"86",2020,2,17,"china",14577
"87",2020,2,17,"wuhan",7119
"88",2020,2,17,"japón",3703
"89",2020,2,17,"méxico",1108
"90",2020,2,17,"colombia",912
"91",2020,2,18,"china",20147
"92",2020,2,18,"wuhan",5521
"93",2020,2,18,"chile",2782
"94",2020,2,18,"japón",1826
"95",2020,2,18,"ezeiza",1578
"96",2020,2,19,"china",15838
"97",2020,2,19,"wuhan",3844
"98",2020,2,19,"chile",1759
"99",2020,2,19,"daegu",1300
"100",2020,2,19,"honduras",1287
"101",2020,2,21,"china",13945
"102",2020,2,21,"italia",4319
"103",2020,2,21,"maracay",3310
"104",2020,2,21,"wuhan",3250
"105",2020,2,21,"ucrania",2210
"106",2020,2,22,"china",11489
"107",2020,2,22,"italia",9118
"108",2020,2,22,"wuhan",3275
"109",2020,2,22,"corea del sur",1813
"110",2020,2,22,"irán",1461
"111",2020,2,23,"italia",2926
"112",2020,2,23,"china",1413
"113",2020,2,23,"corea del sur",391
"114",2020,2,23,"irán",359
"115",2020,2,23,"venecia",315
"116",2020,2,24,"italia",16949
"117",2020,2,24,"china",13907
"118",2020,2,24,"irán",4321
"119",2020,2,24,"españa",4102
"120",2020,2,24,"wuhan",2822
"121",2020,2,25,"italia",17753
"122",2020,2,25,"china",14425
"123",2020,2,25,"españa",8725
"124",2020,2,25,"irán",4773
"125",2020,2,25,"wuhan",4386
"126",2020,2,27,"china",6992
"127",2020,2,27,"españa",4095
"128",2020,2,27,"méxico",4061
"129",2020,2,27,"italia",2728
"130",2020,2,27,"venezuela",2458
"131",2020,2,28,"méxico",21661
"132",2020,2,28,"china",5205
"133",2020,2,28,"españa",2718
"134",2020,2,28,"italia",2438
"135",2020,2,28,"cdmx",1722
"136",2020,2,29,"méxico",14175
"137",2020,2,29,"ecuador",5847
"138",2020,2,29,"china",4832
"139",2020,2,29,"españa",2695
"140",2020,2,29,"italia",2329
"141",2020,3,1,"china",3367
"142",2020,3,1,"ecuador",3069
"143",2020,3,1,"méxico",3031
"144",2020,3,1,"españa",2905
"145",2020,3,1,"italia",1406
"146",2020,3,2,"china",3214
"147",2020,3,2,"méxico",2538
"148",2020,3,2,"españa",2076
"149",2020,3,2,"italia",1731
"150",2020,3,2,"ecuador",1668
